team,historical_elo
ARI,1457.8611081545853
LAN,1551.0114227503036
SDN,1498.6132339245637
TEX,1385.4080649107723
PHI,1427.477821525809
TBA,1407.222166189762
TOR,1334.5727299318655
PIT,1377.9697742306485
CHN,1425.9156274121715
OAK,1341.3705647889083
CLE,1411.550215235802
NYN,1486.1913984279545
WAS,1336.0123389163543
MIL,1451.4284954434554
ATL,1432.1799290626116
MIA,1361.231710424647
COL,1354.648344656076
DET,1466.4994395628605
KCA,1389.919725429679
CIN,1379.5104918723396
SLN,1437.70098282461
CHA,1240.400595976424
MIN,1312.527659289185
BAL,1386.0115362281308
BOS,1368.496827108704
SFN,1405.4127362309255
ANA,1237.9817789695603
SEA,1441.5882204719783
HOU,1440.8985121668584
NYA,1452.38654788245
ALS,1459.3637533856572
NLS,1340.6362466143428
