Team,preseason_elo
NYY,1668.0181089270236
ARI,1700.0
LAD,1681.75347009296
MIL,1588.9952262488719
BAL,1632.8904559860218
SDP,1604.4162346885855
NYM,1610.1803525808016
PHI,1609.9500812114934
HOU,1594.8727218474914
MIN,1599.687603575837
CLE,1542.5158628237211
CHC,1555.755143873014
SEA,1542.2757382917566
TOR,1567.1816411647947
BOS,1599.323433867352
KCR,1534.258727073106
DET,1511.990556328414
ATL,1550.5259575520463
SFG,1544.899372953728
TEX,1536.7334981484955
STL,1538.5809623314797
TBR,1496.2192263705658
OAK,1551.4585963598859
WSN,1506.2933037273926
CIN,1513.8408895628188
MIA,1500.2904737549572
LAA,1507.5796821314746
PIT,1478.5199924737626
COL,1549.8643457117264
CHW,1400.0
