team,previous_elo
NYA,1560.2023284047368
ARI,1578.9305540772925
LAN,1616.3824464216318
MIL,1520.2118608461637
BAL,1509.4509961070762
SDN,1551.5147343065746
NYN,1548.1858755043781
PHI,1518.7139513686511
HOU,1517.885617007175
MIN,1456.107631432511
CLE,1477.0330390297615
CHN,1490.8353856425929
SEA,1491.9319793818674
TOR,1450.87718554833
BOS,1483.910130488028
KCA,1462.0892262513926
DET,1489.2449979456374
ATL,1491.352943307329
SFN,1475.1560545923267
TEX,1461.070781529634
SLN,1488.140972578045
TBA,1451.7206962801638
OAK,1446.414580574397
WAS,1421.1528213218735
CIN,1446.675690717579
MIA,1430.761092089802
ANA,1372.7807305505175
PIT,1428.2448833522055
COL,1452.2563451839012
CHA,1320.200297988212
